연번,구분,도서관명,소재지,매핑_행정구역,매핑상태,비고,면적(제곱미터),region_gu,region_detail,join_key
83,사립,리베라 작은도서관,"경기도 화성시 동탄구 동탄순환대로21길 15, 신안인스빌리베라",,구기준매핑완료,,208.414,동탄구,,동탄구
84,사립,리슈빌 작은별 작은도서관,"경기도 화성시 동탄구 동탄대로3길 34, 리슈빌 아파트",,구기준매핑완료,,129.82,동탄구,,동탄구
85,사립,만세 작은도서관,"경기도 화성시 만세구 향남읍 평3길 20-1, 3층(열람실 공간)경기도 화성시 만세구 향남읍 평리 30-9, 발안만세시장고객센터 401호(교육장)",,구기준매핑완료,,165(열람실)144(교육장),만세구,향남읍,만세구
86,사립,말하는영어 작은도서관,"경기도 화성시 동탄구 10용사로 532, 주다산교회 1층(동탄구 반송동)",,구기준매핑완료,,117.292,동탄구,,동탄구
87,사립,맑은샘문고 작은도서관,"경기도 화성시 동탄구 10용사로 532, 주다산교회 1층(동탄구 반송동)",,구기준매핑완료,,105,동탄구,,동탄구
88,사립,메타하나두리작은도서관,"경기도 화성시 동탄구 동탄중앙로 200, 동탄메타폴리스 6층",,구기준매핑완료,,208,동탄구,,동탄구
89,사립,목동 베라체 작은도서관,"경기도 화성시 동탄구 목동 동탄순환대로20길 13, 동탄구 목동베라체 아파트",,구기준매핑완료,,131.62,동탄구,,동탄구
90,사립,문해아카데미 무진장 작은도서관,경기도 화성시 동탄구 남여울1길 23,,구기준매핑완료,,91,동탄구,,동탄구
91,사립,물댄 작은도서관,"경기도 화성시 병점구 안녕동 212번지 상가 3층, 물댄 동산교회",,구기준매핑완료,,98.4,병점구,,병점구
92,사립,미리내 작은도서관,"경기도 화성시 만세구 남양읍 남양로786번길 15, 남양LH10단지 아파트",,구기준매핑완료,,95,만세구,남양읍,만세구
93,사립,미소 작은도서관,"경기도 화성시 동탄구 동탄영천로 108-10, 동탄2 LH2단지 아파트",,구기준매핑완료,,172.5,동탄구,,동탄구
94,사립,바나나 작은도서관,"경기도 화성시 동탄구 동탄원천로 338-10, 동탄 동탄구 능동마을 주공아파트",,구기준매핑완료,,52.53,동탄구,능동,동탄구
95,사립,반달 작은도서관,"경기도 화성시 병점구 영통로27번길 35, 신영통현대3단지아파트 관리동",,구기준매핑완료,,112,병점구,,병점구
96,사립,반도 정다운 작은도서관,"경기도 화성시 동탄구 동탄기흥로 479-12, 동탄역 반도유보라 아이비파크6.0 별동학습관 1층",,구기준매핑완료,,64,동탄구,,동탄구
97,사립,반도아이비 작은도서관,"경기도 화성시 동탄구 동탄대로시범길 168, 시범 반도유보라아이비 1차",,구기준매핑완료,,121.54,동탄구,,동탄구
98,사립,반딧불 작은도서관,경기도 화성시 효행구 봉담읍 상리3길 135(봉담2 LH3단지),,구기준매핑완료,,166.86,효행구,봉담읍,효행구
99,사립,반올림 작은도서관,"경기도 화성시 동탄구 동탄문화센터로 39, 시범다은마을 포스코더샾 아파트",,구기준매핑완료,,94,동탄구,,동탄구
100,사립,별하 작은도서관,"경기도 화성시 병점구 안녕남로 246-21,지하1층",,구기준매핑완료,,272.96,병점구,,병점구
101,사립,병점역센트럴 작은도서관,"경기도 화성시 병점구 병점1로 65 (병점구 병점동, 늘벗마을신창1차아파트) ",,구기준매핑완료,,42,병점구,병점동,병점구
102,사립,보물섬 작은도서관,"경기도 화성시 병점구 효행로 1338-44, 신동탄롯데캐슬",,구기준매핑완료,,104.15,병점구,,병점구
103,사립,복사꽃마을 작은도서관,경기도 화성시 만세구 향남읍 행정동로 101. 관리동 3층,,구기준매핑완료,,70.08,만세구,향남읍,만세구
104,사립,봉담2 LH2단지 작은도서관,"경기도 화성시 효행구 봉담읍 상리1길 37, 봉담2 LH2단지 아파트",,구기준매핑완료,,34,효행구,봉담읍,효행구
105,사립,봉담그대가3단지 작은도서관,경기도 화성시 효행구 봉담읍 와우로15번길 10(봉담그대가3단지아파트) 302동 B1층,,구기준매핑완료,,73.68,효행구,봉담읍,효행구
106,사립,봉담아이파크 작은도서관,"경기도 화성시 효행구 봉담읍 와우로 34번길 11, 봉담아이파크아파트 커뮤니티센터",,구기준매핑완료,,154,효행구,봉담읍,효행구
107,사립,봉담우방아이유쉘2차아파트 작은도서관,"경기도 화성시 효행구 봉담읍 수영로 61-7, 봉담우방아이유쉘2차아파트",,구기준매핑완료,,46.91,효행구,봉담읍,효행구
108,사립,봉담한신더휴에듀파크 작은도서관,"경기도 화성시 효행구 봉담읍 와우로 18, 봉담한신더휴에듀파크",,구기준매핑완료,,218.7,효행구,봉담읍,효행구
109,사립,부영3단지 호수꿈터 작은도서관,"경기도 화성시 동탄구 동탄대로8길 35, 부영3단지 커뮤니티센터 지하2층",,구기준매핑완료,,120.75,동탄구,,동탄구
110,사립,북뜨락 작은도서관,경기도 화성시 동탄구 동탄신리천로5길 90(동탄2LH38단지 아파트),,구기준매핑완료,,112,동탄구,,동탄구
111,사립,북적북적 책마을 작은도서관,경기도 화성시 만세구 남양읍 역골중앙로41번길 7,,구기준매핑완료,,132.26,만세구,남양읍,만세구
112,사립,비봉병영 작은도서관,경기도 화성시 효행구 비봉면 푸른들판로 1350-109 제 2819부대,,구기준매핑완료,,36,효행구,,효행구
113,사립,비전대대 작은도서관,경기도 화성시 만세구 남양읍 남양로621번길 11,,구기준매핑완료,,42.9,만세구,남양읍,만세구
114,사립,비채 작은도서관,경기도 화성시 효행구 봉담읍 삼천병마로783번길 15,,구기준매핑완료,,98,효행구,봉담읍,효행구
115,사립,사랑 뜰 작은도서관,"경기도 화성시 만세구 장안면 사랑길 133-8, 조암제일교회 내",,구기준매핑완료,,85.2,만세구,장안면,만세구
116,사립,사자와어린양 작은도서관,"경기도 화성시 만세구 향남읍 행정서로1길 19-7, 101호",,구기준매핑완료,,90.82,만세구,향남읍,만세구
117,사립,산고개마을 작은도서관,"경기도 화성시 동탄구 동탄순환대로10길 30-23, LH35단지",,구기준매핑완료,,114.9,동탄구,,동탄구
118,사립,상동비전 작은도서관,"경기도 화성시 병점구 병점동로 84-9, 병점상동교회",,구기준매핑완료,,247.5,병점구,병점동,병점구
119,사립,상록문고 작은도서관,"경기도 화성시 동탄구 동탄원천로 315-18, 상록예가아파트 내 주민공동시설",,구기준매핑완료,,48.3,동탄구,,동탄구
120,사립,상상 작은도서관,경기도 화성시 동탄구 동탄순환대로19길 59(힐스테이트 동탄 아파트),,구기준매핑완료,,115.151,동탄구,,동탄구
121,사립,새강꿈터 작은도서관,"경기도 화성시 동탄구 동탄중앙로 99, 휴먼시아 5-1단지",,구기준매핑완료,,142,동탄구,,동탄구
122,사립,새강마을 작은도서관,"경기도 화성시 동탄구 동탄중앙로 99, 휴먼시아5-2단지 관리동",,구기준매핑완료,,171.5,동탄구,,동탄구
123,사립,새싹 작은도서관,"경기도 화성시 만세구 남야읍 남양시장로55번길 5-1, 2층",,구기준매핑완료,,96.94,만세구,,만세구
124,사립,샘마을 작은도서관,"경기도 화성시 효행구 봉담읍 샘마을길 41, 2층 봉담선한목자교회",,구기준매핑완료,,38,효행구,봉담읍,효행구
125,사립,생각마루 작은도서관,"경기도 화성시 효행구 효행로291번길 26(효행구 기안동, 신일해피트리 아파트 관리동 2층)",,구기준매핑완료,,198,효행구,기안동,효행구
126,사립,생각정원 작은도서관,"경기도 화성시 동탄구 동탄순환대로10길 88, 반도유보라10차 2단지 아파트",,구기준매핑완료,,237,동탄구,,동탄구
127,사립,서봉 작은도서관,경기도 화성시 만세구 향남읍 상신하길로356번길 29-16 서봉마을2단지,,구기준매핑완료,,82.18,만세구,향남읍,만세구
128,사립,서해더블루LUX 작은도서관,"경기도 화성시 동탄구 동탄문화센터로 75 서해더블루LUX, 24층",,구기준매핑완료,,110.5,동탄구,,동탄구
129,사립,서해더블루PAX 작은도서관,"경기도 화성시 동탄구 노작로 203(동탄구 반송동,서해더블루PAX), 24층",,구기준매핑완료,,121.5,동탄구,,동탄구
130,사립,서해백일홍 작은도서관,"경기도 화성시 동탄구 동탄문화센터로 38, 서해그랑블아파트 커뮤니티센터",,구기준매핑완료,,119.51,동탄구,,동탄구
131,사립,선한꿈터 작은도서관,"경기도 화성시 만세구 남양읍 수작이길 41, 1층",,구기준매핑완료,,242.78,만세구,남양읍,만세구
132,사립,센트럴북카페 작은도서관,경기도 화성시 동탄구 동탄중앙로 189 시범다은마을 월드메르디앙,,구기준매핑완료,,117,동탄구,,동탄구
133,사립,센트럴써밋 작은도서관,"경기도 화성시 동탄구 동탄신리천로 786, 센트럴써밋아파트",,구기준매핑완료,,98.8,동탄구,,동탄구
134,사립,소나무 작은도서관,"경기도 화성시 동탄구 동탄나루로 55, 동탄나루마을월드메르디앙 반도유보라 2차 아파트",,구기준매핑완료,,89,동탄구,,동탄구
135,사립,소원 작은도서관,"경기도 화성시 동탄구 동탄대로시범길 53, 시범대원칸타빌아파트",,구기준매핑완료,,122.628,동탄구,,동탄구
136,사립,솔빛 작은도서관,"경기도 화성시 동탄구 동탄반석로 96.(동탄구 반송동, 솔빛마을경남아너스빌아파트 관리사무동 2층)",,구기준매핑완료,,135,동탄구,,동탄구
137,사립,솔향기책터 작은도서관,"경기도 화성시 동탄구 동탄반석로 70, 솔빛마을 신도브래뉴 관리사무소 ",,구기준매핑완료,,120.8,동탄구,,동탄구
138,사립,송골우남 작은도서관,경기도 화성시 동탄구 10용사로 286 송골우남퍼스트빌 관리동 1층,,구기준매핑완료,,119,동탄구,,동탄구
139,사립,숲속 작은도서관,"경기도 화성시 동탄구 동탄순환대로20길 104, 호반베르디움22단지 아파트",,구기준매핑완료,,101,동탄구,,동탄구
140,사립,숲속경남 작은도서관,"경기도 화성시 동탄구 동탄숲속로 103, 경남숲속마을 아파트",,구기준매핑완료,,95.77,동탄구,,동탄구
141,사립,숲속모아 작은도서관,경기도 화성시 동탄구 동탄숲속로 96  모아미래도1단지,,구기준매핑완료,,91.83,동탄구,,동탄구
142,사립,숲속문고 작은도서관,경기도 화성시 병점구 영통로26번길 24 푸르지오아파트,,구기준매핑완료,,55.44,병점구,,병점구
143,사립,숲향기 작은도서관,"경기도 화성시 동탄구 동탄대로24가길 30, 동탄파크 한양 수자인아파트",,구기준매핑완료,,90,동탄구,,동탄구
144,사립,쉐마 작은도서관,"경기도 화성시 동탄구 원고매로 168, 동탄지구촌교회",,구기준매핑완료,,70,동탄구,,동탄구
145,사립,스위첸 작은도서관,경기도 화성시 동탄구 동탄청계로 303-14 (kcc스위첸아파트),,구기준매핑완료,,344,동탄구,,동탄구
146,사립,스타힐스 작은도서관,"경기도 화성시 동탄구 동탄순환대로17길 15(동탄구 산척동, 스타힐스 24단지)",,구기준매핑완료,,57.7,동탄구,,동탄구
147,사립,시그너스 작은도서관,"경기도 화성시 동탄구 동탄역로 196, 지하1층",,구기준매핑완료,,134.62,동탄구,,동탄구
148,사립,신나는 작은도서관,"경기도 화성시 만세구 수노을중앙로 257, 세영리첼에듀파크아파트",,구기준매핑완료,,124,만세구,,만세구
149,사립,신일 유토빌 책마을 작은도서관,경기도 화성시 동탄구 동탄반석로 232 예당마을 신일유토빌,,구기준매핑완료,,75.49,동탄구,,동탄구
150,사립,신창2차 책마을 작은도서관,경기도 화성시 병점구 병점2로 102 신창비바훼밀리2차,,구기준매핑완료,,36,병점구,,병점구
151,사립,실로암 작은도서관,"경기도 화성시 효행구 봉담읍 유리마을길 81 기산베스트빌아파트 상가 지하1층경기도 화성시 효행구 봉담읍 시청로 1405-10, 104호",,구기준매핑완료,,82.35,효행구,봉담읍,효행구
152,사립,쌍용예가 책마을 작은도서관,"경기도 화성시 효행구 봉담읍 유리마을길 81 기산베스트빌아파트 상가 지하1층경기도 화성시 효행구 봉담읍 시청로 1405-10, 104호",,구기준매핑완료,,118,효행구,봉담읍,효행구
153,사립,아름다운 작은도서관,"경기도 화성시 병점구 효행로 1205-67, 아름다운 교회",,구기준매핑완료,,42,병점구,,병점구
154,사립,아름드리 작은도서관,경기도 화성시 효행구 봉담읍 동화리 동화역말길 22 휴먼시아 503동,,구기준매핑완료,,103,효행구,봉담읍,효행구
155,사립,아삭 작은도서관,"경기도 화성시 만세구 떡전골로 111 지상2층, 지하1층",,구기준매핑완료,,304,만세구,,만세구
156,사립,아이비 작은도서관,경기도 화성시 동탄구 동탄기흥로 393-15(동탄역반도유보라5차),,구기준매핑완료,,64,동탄구,,동탄구
157,사립,아이숲 작은도서관,"경기도 화성시 동탄구 동탄순환대로26길 55 반도유보라 아이비파크2차 관리동 2층(동탄구 영천동, 반도유보라2차)",,구기준매핑완료,,182,동탄구,영천동,동탄구
158,사립,"아이원 글, 숲, 작은도서관",경기도 화성시 동탄구 동탄대로 1길 20,,구기준매핑완료,,169.5,동탄구,,동탄구
